UMLClass,UMLEntity,UMLDescription,ConceptName,ConceptPreferredName,Classification,ConceptCode,ConceptDefinition,ConceptDefinitionSource,ModifiedDate,HumanVerified
Logical View.Data Model.Logical Model.gov.nih.nci.ivi.bdt.Base64DataItem,Logical View.Data Model.Logical Model.gov.nih.nci.ivi.bdt.Base64DataItem,describes a data item that is transported via Base64 encoding and embedding in messages,Data,Data,ObjectClass,C25474,"A collection or single item of factual information, derived from measurement or research, from which conclusions may be drawn.",NCI,,0
Logical View.Data Model.Logical Model.gov.nih.nci.ivi.bdt.Base64DataItem,binaryData,the base64 encoded field for storing the actual data item.,Data,Data,Property,C25474,"A collection or single item of factual information, derived from measurement or research, from which conclusions may be drawn.",NCI,,0
Logical View.Data Model.Logical Model.gov.nih.nci.ivi.bdt.Base64DataItem,binaryData,the base64 encoded field for storing the actual data item.,Binary_Value,Binary,Property,C45969,"Consisting of two (e.g., units, components, elements, terms, possibilities) or based on two.",NCI,,0
Logical View.Data Model.Logical Model.gov.nih.nci.ivi.bdt.GridFTPDataItem,Logical View.Data Model.Logical Model.gov.nih.nci.ivi.bdt.GridFTPDataItem,describes a data item that is reachable through gridFTP,,,,,,,,0
Logical View.Data Model.Logical Model.gov.nih.nci.ivi.bdt.FileSystemDataItem,Logical View.Data Model.Logical Model.gov.nih.nci.ivi.bdt.FileSystemDataItem,"Describes a data item that is reachable through a common, shared file system",Data,Data,ObjectClass,C25474,"A collection or single item of factual information, derived from measurement or research, from which conclusions may be drawn.",NCI,,0
Logical View.Data Model.Logical Model.gov.nih.nci.ivi.bdt.FileSystemDataItem,Logical View.Data Model.Logical Model.gov.nih.nci.ivi.bdt.FileSystemDataItem,"Describes a data item that is reachable through a common, shared file system",System,System,ObjectClass,C25700,A group of independent but interrelated elements comprising a unified whole.,NCI,,0
Logical View.Data Model.Logical Model.gov.nih.nci.ivi.bdt.FileSystemDataItem,Logical View.Data Model.Logical Model.gov.nih.nci.ivi.bdt.FileSystemDataItem,"Describes a data item that is reachable through a common, shared file system",File,File,ObjectClass,C42883,A set of related records (either written or electronic) kept together.,NCI,,0
Logical View.Data Model.Logical Model.gov.nih.nci.ivi.bdt.DataLocation,Logical View.Data Model.Logical Model.gov.nih.nci.ivi.bdt.DataLocation,Location from which the data can be retrieved,Data,Data,ObjectClass,C25474,"A collection or single item of factual information, derived from measurement or research, from which conclusions may be drawn.",NCI,,0
Logical View.Data Model.Logical Model.gov.nih.nci.ivi.bdt.DataLocation,Logical View.Data Model.Logical Model.gov.nih.nci.ivi.bdt.DataLocation,Location from which the data can be retrieved,Location,Location,ObjectClass,C25341,"A position, site, or point in space where something can be found.",NCI,,0
Logical View.Data Model.Logical Model.gov.nih.nci.ivi.bdt.DataLocation,compressionType,compression method for the data transported,Type,Type,Property,C25284,Something distinguishable as an identifiable class based on common qualities.,NCI,,0
Logical View.Data Model.Logical Model.gov.nih.nci.ivi.bdt.DataLocation,compressionType,compression method for the data transported,Compression,Compression,Property,C41208,"The act, process, or result of pressing together, flattening, or condensing, particularly, increasing an external physical pressure on a body structure. Also refers to the reduction in the volume of a body or substance and augmentation of its density due to pressure.",NCI,,0
Logical View.Data Model.Logical Model.gov.nih.nci.ivi.bdt.DataLocation,locationPort,port used by the data source,Anatomic_Sites,Anatomic Site,Property,C13717,Named locations of or within the body.,NCI,,0
Logical View.Data Model.Logical Model.gov.nih.nci.ivi.bdt.DataLocation,locationPort,port used by the data source,Device_Port_Device_Component,Device Port Device Component,Property,C50111,,,,0
Logical View.Data Model.Logical Model.gov.nih.nci.ivi.bdt.DataLocation,locationPort,port used by the data source,Location,Location,Property,C25341,"A position, site, or point in space where something can be found.",NCI,,0
Logical View.Data Model.Logical Model.gov.nih.nci.ivi.bdt.DataLocation,locationURL,data source URL,Anatomic_Sites,Anatomic Site,Property,C13717,Named locations of or within the body.,NCI,,0
Logical View.Data Model.Logical Model.gov.nih.nci.ivi.bdt.DataLocation,locationURL,data source URL,Uniform_Resource_Locator,Uniform Resource Locator,Property,C42743,An Internet address which tells a browser where to find an Internet resource.,NCI,,0
Logical View.Data Model.Logical Model.gov.nih.nci.ivi.bdt.DataLocation,locationURL,data source URL,Location,Location,Property,C25341,"A position, site, or point in space where something can be found.",NCI,,0
Logical View.Data Model.Logical Model.gov.nih.nci.ivi.bdt.DataLocation,transportMechanismType,transport mechanism used in this bulk data transport,Type,Type,Property,C25284,Something distinguishable as an identifiable class based on common qualities.,NCI,,0
Logical View.Data Model.Logical Model.gov.nih.nci.ivi.bdt.DataLocation,transportMechanismType,transport mechanism used in this bulk data transport,Delivery,Delivery,Property,C61560,The act of conveying or transporting from one place to another.,NCI,,0
Logical View.Data Model.Logical Model.gov.nih.nci.ivi.bdt.DataLocation,transportMechanismType,transport mechanism used in this bulk data transport,Transport_Device_Component,Transport Device Component,Property,C50233,,,,0
Logical View.Data Model.Logical Model.gov.nih.nci.ivi.bdt.DataLocation,transportMechanismType,transport mechanism used in this bulk data transport,Mechanism,Mechanism,Property,C25343,The means by which an effect is obtained.,NCI,,0
Logical View.Data Model.Logical Model.gov.nih.nci.ivi.bdt.DataLocation,transportMechanismType,transport mechanism used in this bulk data transport,Transfer_Activity,Transfer,Property,C48167,The act of moving something from one location to another.,NCI,,0
Logical View.Data Model.Logical Model.gov.nih.nci.ivi.bdt.Metadata,Logical View.Data Model.Logical Model.gov.nih.nci.ivi.bdt.Metadata,generic metadata field,Metadata,Metadata,ObjectClass,C52095,Data about data; information that describes another set of data.,NCI,,0
Logical View.Data Model.Logical Model.gov.nih.nci.ivi.bdt.Metadata,name,name of metadata entry,Name_Generic_Concept,Name,Property,C42614,The words or language units by which a thing is known.,NCI,,0
Logical View.Data Model.Logical Model.gov.nih.nci.ivi.bdt.Metadata,name,name of metadata entry,Carney_Complex,Carney Syndrome,Property,C4705,,,,0
Logical View.Data Model.Logical Model.gov.nih.nci.ivi.bdt.Metadata,name,name of metadata entry,Name,Person Name,Property,C25191,A word or group of words indicating the identity of a person usually consisting of a first (personal) name and a last (family) name with an optional middle name.  In some cultural traditions the family name comes first.,NCI,,0
