UMLClass,UMLEntity,UMLDescription,ConceptName,ConceptPreferredName,Classification,ConceptCode,ConceptDefinition,ConceptDefinitionSource,ModifiedDate,HumanVerified
Logical View.Data Model.Logical Model.gov.nih.nci.ivi.bdt.DataLocation,Logical View.Data Model.Logical Model.gov.nih.nci.ivi.bdt.DataLocation,This class is the same as the DataLocation class from the BDT UML model.  The attributes of the BDT DataLocation class are not replicated here.  This class identifies or stores the binary data that needs to be transported.,Data,Data,ObjectClass,C25474,"A collection or single item of factual information, derived from measurement or research, from which conclusions may be drawn.",NCI,,0
Logical View.Data Model.Logical Model.gov.nih.nci.ivi.bdt.DataLocation,Logical View.Data Model.Logical Model.gov.nih.nci.ivi.bdt.DataLocation,This class is the same as the DataLocation class from the BDT UML model.  The attributes of the BDT DataLocation class are not replicated here.  This class identifies or stores the binary data that needs to be transported.,Location,Location,ObjectClass,C25341,"A position, site, or point in space where something can be found.",NCI,,0
Logical View.Data Model.Logical Model.gov.nih.nci.ivi.bdt.dsd.Package,Logical View.Data Model.Logical Model.gov.nih.nci.ivi.bdt.dsd.Package,Represents a service package,Package,Package,ObjectClass,C43233,"The drug product container with any accompanying materials or components. This may include the protective packaging, labeling, administration devices, etc.",NCI,,0
Logical View.Data Model.Logical Model.gov.nih.nci.ivi.bdt.dsd.Package,identifier,the identifier of the package,Identifier,Identifier,Property,C25364,"One or more characters used to identify, name, or characterize the nature, properties, or contents of a thing.",NCI,,0
Logical View.Data Model.Logical Model.gov.nih.nci.ivi.bdt.dsd.Package,majorVersion,the major version number of the package,Major,Major,Property,C45368,"Greater or bigger in amount, extent, or size.",NCI,,0
Logical View.Data Model.Logical Model.gov.nih.nci.ivi.bdt.dsd.Package,majorVersion,the major version number of the package,Version,Version,Property,C25714,"A form or variant of a type or original; one of a sequence of copies of a program, each incorporating new modifications.",NCI,,0
Logical View.Data Model.Logical Model.gov.nih.nci.ivi.bdt.dsd.Package,minorVersion,the minor version number of the pacakge,Minor,Minor,Property,C45367,"Lesser or smaller in amount, extent, or size.",NCI,,0
Logical View.Data Model.Logical Model.gov.nih.nci.ivi.bdt.dsd.Package,minorVersion,the minor version number of the pacakge,Version,Version,Property,C25714,"A form or variant of a type or original; one of a sequence of copies of a program, each incorporating new modifications.",NCI,,0
Logical View.Data Model.Logical Model.gov.nih.nci.ivi.bdt.dsd.Package,name,the name of the package,Name_Generic_Concept,Name,Property,C42614,The words or language units by which a thing is known.,NCI,,0
Logical View.Data Model.Logical Model.gov.nih.nci.ivi.bdt.dsd.Package,name,the name of the package,Carney_Complex,Carney Syndrome,Property,C4705,,,,0
